iter	Logloss
0	0.6888458475
1	0.6852946844
2	0.6814512377
3	0.6771556873
4	0.6737049769
5	0.6695564216
6	0.6653279494
7	0.6615000813
8	0.6573795636
9	0.6547598457
10	0.6506555671
11	0.6475215315
12	0.6444544089
13	0.640837222
14	0.6379785604
15	0.6340365808
16	0.6302562719
17	0.6267499377
18	0.6241853357
19	0.6202820414
20	0.6172583713
21	0.6143071468
22	0.611932736
23	0.6086191608
24	0.6057496412
25	0.6021202821
26	0.5992122162
27	0.5960206942
28	0.5931694391
29	0.5906844712
30	0.5880027517
31	0.5843696981
32	0.5822897787
33	0.5796353918
34	0.5768815903
35	0.5747707544
36	0.5719335581
37	0.5691627962
38	0.5663483644
39	0.5636382782
40	0.5616495237
41	0.5592386201
42	0.5569822612
43	0.5548517588
44	0.5524667622
45	0.5498939392
46	0.5472891529
47	0.5454316021
48	0.543096712
49	0.5408602351
50	0.5385445585
51	0.5362813587
52	0.5338999335
53	0.5315141886
54	0.5298964202
55	0.5277119646
56	0.5258114468
57	0.5236151623
58	0.5214331426
59	0.5200544534
60	0.5184090882
61	0.5172023373
62	0.5157505276
63	0.5140857373
64	0.5124856228
65	0.5110932172
66	0.5092065428
67	0.507736153
68	0.5058397156
69	0.5042624123
70	0.502699251
71	0.5014052108
72	0.5001301975
73	0.4990979817
74	0.497794682
75	0.4962354558
76	0.4947454972
77	0.4930936671
78	0.4916759281
79	0.4905317697
80	0.4896594273
81	0.4884264139
82	0.4872018952
83	0.4860992669
84	0.4843569597
85	0.48323551
86	0.4821000441
87	0.4812578543
88	0.4798436446
89	0.4789738519
90	0.4776862163
91	0.4762932674
92	0.4749633291
93	0.4737469819
94	0.472332043
95	0.4716209377
96	0.4705730195
97	0.469142055
98	0.4677659341
99	0.466557945
100	0.4653637298
101	0.4641398871
102	0.4629789642
103	0.4617652619
104	0.4608704507
105	0.4595828919
106	0.4589059931
107	0.4577205677
108	0.4566497961
109	0.4556669402
110	0.4544913615
111	0.4536519821
112	0.4528049038
113	0.4519335102
114	0.4506028892
115	0.4497879644
116	0.4491042232
117	0.4481642888
118	0.4470188611
119	0.4462756896
120	0.4456190643
121	0.4449675461
122	0.4436793498
123	0.4427215799
124	0.4421028598
125	0.4413592416
126	0.4406469153
127	0.4399805157
128	0.4391654149
129	0.438104284
130	0.4373583898
131	0.4364997815
132	0.4353818878
133	0.4346080989
134	0.4337789616
135	0.4330724931
136	0.4323307706
137	0.4315702072
138	0.4303481968
139	0.4296146176
140	0.4286670766
141	0.4280151908
142	0.4271254508
143	0.4263448835
144	0.4256156634
145	0.4248555516
146	0.4240772724
147	0.423409288
148	0.4226308792
149	0.4217213899
150	0.4210300248
151	0.4205753942
152	0.4199657486
153	0.4193154887
154	0.4189618261
155	0.418109659
156	0.4174694581
157	0.4169747472
158	0.4161358818
159	0.4155105122
160	0.4151776764
161	0.4144699802
162	0.4138322925
163	0.4129590249
164	0.4124059034
165	0.4119153613
166	0.4115124578
167	0.411108457
168	0.4105580281
169	0.4096582059
170	0.4091701919
171	0.4085490451
172	0.408117621
173	0.4074709095
174	0.4068739965
175	0.4061810739
176	0.4054775961
177	0.4046018665
178	0.4036643976
179	0.4031398971
180	0.4024575308
181	0.4020066926
182	0.4013148583
183	0.4008645334
184	0.400312894
185	0.39973974
186	0.3990625392
187	0.3984467188
188	0.3977803415
189	0.3973364346
190	0.3968921651
191	0.3961872154
192	0.3957257439
193	0.3952733402
194	0.3945192158
195	0.3941181068
196	0.3937599682
197	0.3933305954
198	0.3927723411
199	0.3922788774
200	0.3917903662
201	0.3913792937
202	0.3908707451
203	0.3904313159
204	0.3900546221
205	0.3894126309
206	0.3888602546
207	0.3883143858
208	0.3878031383
209	0.3873186785
210	0.3868052143
211	0.3863333686
212	0.3858485715
213	0.3851692371
214	0.3847091474
215	0.3843271157
216	0.3836253144
217	0.3832020739
218	0.382775062
219	0.3824355661
220	0.3821184397
221	0.3817845106
222	0.3812811182
223	0.3808045646
224	0.3803732516
225	0.3797315256
226	0.3794663599
227	0.3790736169
228	0.3786729972
229	0.3782440709
230	0.3778241513
231	0.3773214379
232	0.3768130326
233	0.3763588998
234	0.3757440468
235	0.3751425655
236	0.3749289641
237	0.3744756011
238	0.3739187993
239	0.3733975776
240	0.3728968789
241	0.372549826
242	0.372063827
243	0.3718806629
244	0.3714039596
245	0.3709773843
246	0.370668318
247	0.3702842719
248	0.3699532742
249	0.3696841648
250	0.3693168905
251	0.3688866511
252	0.3687176118
253	0.3684367257
254	0.3678851893
255	0.3674480392
256	0.3671187131
257	0.3667346176
258	0.3662970051
259	0.3658740218
260	0.3655193948
261	0.3648655586
262	0.3643298779
263	0.3640924385
264	0.3635798027
265	0.3630872537
266	0.3628198834
267	0.3626971326
268	0.3623803104
269	0.3620770132
270	0.361727295
271	0.3614008214
272	0.3611551963
273	0.3606843395
274	0.3602722196
275	0.3600288954
276	0.3598617595
277	0.3594874594
278	0.3590408289
279	0.3586899262
280	0.3583033631
281	0.3579132757
282	0.3576729631
283	0.3571787086
284	0.3566761872
285	0.3562707646
286	0.3557266718
287	0.3552780608
288	0.3549409131
289	0.3546656006
290	0.3544690486
291	0.3541890717
292	0.3536886386
293	0.3534467881
294	0.3531089159
295	0.3528610109
296	0.3526418045
297	0.3524034317
298	0.3521499071
299	0.3518337664
300	0.3515808773
301	0.3512031265
302	0.3508649887
303	0.3505355555
304	0.3503006048
305	0.3500748028
306	0.3499308883
307	0.34960358
308	0.3492387167
309	0.3487932304
310	0.3484876748
311	0.3481974892
312	0.3479131039
313	0.3475687839
314	0.3473130234
315	0.3471254883
316	0.3468598689
317	0.3464431811
318	0.3461385225
319	0.3458933332
320	0.3455099465
321	0.3451797565
322	0.3449981454
323	0.3446576622
324	0.3442313508
325	0.34403953
326	0.3437107725
327	0.3432788069
328	0.342980029
329	0.3426080808
330	0.342372362
331	0.3420905546
332	0.3416387506
333	0.3413088355
334	0.341164558
335	0.340657098
336	0.3403946678
337	0.3400054915
338	0.3398076503
339	0.3395732821
340	0.3391212897
341	0.3388085513
342	0.3385927152
343	0.338156677
344	0.33799355
345	0.3375235533
346	0.3372451042
347	0.3370607737
348	0.3368475535
349	0.3365905712
350	0.3361170132
351	0.3358873355
352	0.3355939267
353	0.3352236446
354	0.3347619444
355	0.3345378995
356	0.3342032018
357	0.3339550053
358	0.3336568097
359	0.3333355427
360	0.3330374865
361	0.3327272569
362	0.3322851735
363	0.3319899301
364	0.3316089736
365	0.3314352511
366	0.3309901995
367	0.3307866883
368	0.3306132017
369	0.3302895693
370	0.3300495444
371	0.32966049
372	0.329419307
373	0.3290280031
374	0.3288922583
